userId,movieId,rating,timestamp,rating_datetime,rating_year,rating_month
200,8641,3.0,1229877411,2008-12-21 16:36:51+00:00,2008,12
174,253,5.0,848487003,1996-11-20 10:50:03+00:00,1996,11
475,165,4.5,1498031585,2017-06-21 07:53:05+00:00,2017,6
534,46578,2.5,1459788454,2016-04-04 16:47:34+00:00,2016,4
68,1967,2.5,1269121677,2010-03-20 21:47:57+00:00,2010,3
198,3527,2.0,1034135655,2002-10-09 03:54:15+00:00,2002,10
603,4705,3.0,1002403447,2001-10-06 21:24:07+00:00,2001,10
474,4477,1.0,1046886579,2003-03-05 17:49:39+00:00,2003,3
294,325,2.0,966597066,2000-08-18 11:11:06+00:00,2000,8
130,165,4.0,832589546,1996-05-20 10:52:26+00:00,1996,5
62,128512,3.5,1523047259,2018-04-06 20:40:59+00:00,2018,4
474,2558,2.0,1047044056,2003-03-07 13:34:16+00:00,2003,3
140,292,3.0,967049135,2000-08-23 16:45:35+00:00,2000,8
590,4270,2.5,1258417967,2009-11-17 00:32:47+00:00,2009,11
168,913,4.5,1306802817,2011-05-31 00:46:57+00:00,2011,5
453,1616,3.0,972622125,2000-10-27 04:48:45+00:00,2000,10
304,1064,3.0,891173962,1998-03-29 12:19:22+00:00,1998,3
330,780,2.5,1285904918,2010-10-01 03:48:38+00:00,2010,10
381,6365,4.0,1165975402,2006-12-13 02:03:22+00:00,2006,12
462,107702,3.5,1398516237,2014-04-26 12:43:57+00:00,2014,4
414,1673,4.0,961517035,2000-06-20 16:03:55+00:00,2000,6
239,454,4.0,1221158458,2008-09-11 18:40:58+00:00,2008,9
318,2529,4.0,1270753709,2010-04-08 19:08:29+00:00,2010,4
573,45499,3.5,1248842633,2009-07-29 04:43:53+00:00,2009,7
302,383,3.0,854473322,1997-01-28 17:42:02+00:00,1997,1
526,96079,3.5,1502133036,2017-08-07 19:10:36+00:00,2017,8
307,52975,2.0,1200150428,2008-01-12 15:07:08+00:00,2008,1
230,2174,3.0,1196304730,2007-11-29 02:52:10+00:00,2007,11
322,500,3.0,1217676280,2008-08-02 11:24:40+00:00,2008,8
610,70,4.0,1495959282,2017-05-28 08:14:42+00:00,2017,5
186,3471,4.0,1031079382,2002-09-03 18:56:22+00:00,2002,9
368,1304,3.0,975828861,2000-12-03 07:34:21+00:00,2000,12
288,2054,3.5,1054568597,2003-06-02 15:43:17+00:00,2003,6
414,5285,4.0,1035555865,2002-10-25 14:24:25+00:00,2002,10
219,52281,4.5,1194685927,2007-11-10 09:12:07+00:00,2007,11
117,39,3.0,844162955,1996-10-01 09:42:35+00:00,1996,10
552,5013,4.0,1111473123,2005-03-22 06:32:03+00:00,2005,3
599,72226,3.0,1498521693,2017-06-27 00:01:33+00:00,2017,6
